track_id,track_name,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_name,album_type,album_total_tracks,track_duration_min,release_year,release_decade,popularity_90_plus,recent_release,explicit_label,genre_available,artist_track_count,artist_10_plus,genre_track_count,genre_30_plus
30CkdHzQnMEI8JvQLkWlP3,Ava,0,False,Famy,50.0,60303.0,,We Fam Econo,album,12,3.97,2014,2010s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
0dErnwCOJio6gkYfzPUfSa,A Celtic Lore,39,False,Adrian Von Ziegler,47.0,171819.0,"celtic, medieval",The Celtic Collection,album,23,3.33,2012,2010s,False,False,Non Explicit,Genre Available,1.0,Below 10 Tracks,1.0,Below 30 Tracks
1KkpePfeGP7qrmBpm3UQK0,This Kiss,38,False,Faith Hill,60.0,1956457.0,country,90's Drive - Pop,compilation,45,3.25,2023,2020s,False,False,Non Explicit,Genre Available,3.0,Below 10 Tracks,90.0,30+ Tracks
2cZrrQMjB63c0iIugYH9zS,Rain Over Me (feat. Marc Anthony),76,False,Pitbull,84.0,11933906.0,,Planet Pit (Deluxe Version),album,16,3.86,2011,2010s,False,False,Non Explicit,Genre Missing,22.0,10+ Tracks,,Genre Missing
5nFyaoBWwwMJ9fv33tZ2MB,What I Need (feat. Kehlani),49,False,Hayley Kiyoko,54.0,1643656.0,,Expectations,album,13,3.66,2018,2010s,False,False,Non Explicit,Genre Missing,2.0,Below 10 Tracks,,Genre Missing
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,77,False,Lost Frequencies,75.0,3098388.0,tropical house,Where Are You Now,single,1,2.47,2021,2020s,False,False,Non Explicit,Genre Available,2.0,Below 10 Tracks,29.0,Below 30 Tracks
4Gjr6RXBUxW4ANx2k157As,Lone Survivor,39,False,Steve Jablonsky,57.0,218503.0,soundtrack,Lone Survivor (Original Motion Picture Soundtrack),album,20,3.63,2013,2010s,False,False,Non Explicit,Genre Available,6.0,Below 10 Tracks,346.0,30+ Tracks
53Lp7OESwvZmD9D4b4fMG6,"Uncharted, Drake's Fortune: Nate's Theme",42,False,Greg Edmonson,37.0,9476.0,soundtrack,The Greatest Video Game Music,album,21,1.88,2011,2010s,False,False,Non Explicit,Genre Available,2.0,Below 10 Tracks,346.0,30+ Tracks
71Xtu0sdK3X4EyUKiPjylF,Blood Theme,0,False,Daniel Licht,41.0,16815.0,,Dexter,compilation,25,2.44,2007,2000s,False,False,Non Explicit,Genre Missing,2.0,Below 10 Tracks,,Genre Missing
6kWZ678CujB8vZnPf1eg4k,We Meen Ekhtar,54,False,Sherine,66.0,9661696.0,"egyptian pop, sholawat, khaleeji",Ana Kteer,album,12,4.52,2014,2010s,False,False,Non Explicit,Genre Available,33.0,10+ Tracks,33.0,30+ Tracks
3GYulbp28vjI5wpIbHCZZc,Bey Ulu ma y Ulu,53,False,Wegz,61.0,7429055.0,"egyptian hip hop, arabic hip hop, mahraganat, egyptian pop",Aqareb,album,12,2.82,2025,2020s,False,True,Non Explicit,Genre Available,12.0,10+ Tracks,13.0,Below 30 Tracks
21dpBHPTV7ythCHBI6Slcw,If By Chance,60,False,Ruth B.,69.0,4465726.0,,Safe Haven,album,12,5.06,2017,2010s,False,False,Non Explicit,Genre Missing,6.0,Below 10 Tracks,,Genre Missing
5mjYQaktjmjcMKcUIcqz4s,Strangers,75,False,Kenya Grace,61.0,578827.0,,Strangers,single,1,2.88,2023,2020s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
2z4U9d5OAA4YLNXoCgioxo,What the Hell,75,False,Avril Lavigne,76.0,12004691.0,,Goodbye Lullaby (Expanded Edition),album,21,3.68,2011,2010s,False,False,Non Explicit,Genre Missing,24.0,10+ Tracks,,Genre Missing
2rmwqU7yzTvzkiaRV53DpT,2 Be Loved (Am I Ready),64,False,Lizzo,68.0,5739313.0,,Special,album,12,3.12,2022,2020s,False,False,Non Explicit,Genre Missing,8.0,Below 10 Tracks,,Genre Missing
51eSHglvG1RJXtL3qI5trr,Slow It Down,83,False,Benson Boone,83.0,7045466.0,,Fireworks & Rollerblades,album,15,2.7,2024,2020s,False,True,Non Explicit,Genre Missing,7.0,Below 10 Tracks,,Genre Missing
76NLHv4D8SuERENtBaqrKA,Love Is Beautifully Painful - Ghost Duet Version,0,True,Darkrose,32.0,7211.0,,Love Is Beautifully Painful (Ghost Duet Version),single,1,2.75,2023,2020s,False,False,Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
1iIWEIXzaEmvj01drmh0fM,Pas De Deux,0,False,Michael Abels,35.0,12855.0,,Us (Original Motion Picture Soundtrack),album,32,2.86,2019,2010s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
7fuoqve1SOEBmhc2PoQTF0,Breathe,54,True,Fabolous,64.0,2757877.0,,Real Talk (123),album,18,4.48,2004,2000s,False,False,Explicit,Genre Missing,2.0,Below 10 Tracks,,Genre Missing
7tI8dRuH2Yc6RuoTjxo4dU,Who,86,False,Jimin,79.0,10841227.0,k-pop,MUSE,album,7,2.85,2024,2020s,False,True,Non Explicit,Genre Available,2.0,Below 10 Tracks,93.0,30+ Tracks
0pBLDWK554CvL2KZJsOeN1,In a Night,59,False,Asal,59.0,135959.0,,Missing Something,album,8,2.43,2024,2020s,False,True,Non Explicit,Genre Missing,2.0,Below 10 Tracks,,Genre Missing
5rAUZy2eDdegBxUVYxePK2,In The End - Mellen Gi Remix,69,False,Tommee Profitt,64.0,351526.0,,In The End,single,3,3.64,2019,2010s,False,False,Non Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
2mshVcs5SVhq59ol5zKDnL,Oxygen,22,False,Now O Later,43.0,2595.0,hypertechno,Oxygen,single,1,2.63,2024,2020s,False,True,Non Explicit,Genre Available,3.0,Below 10 Tracks,30.0,30+ Tracks
5Xhqh4lwJPtMUTsdBztN1a,Me Gusta,65,False,Shakira,85.0,39777995.0,latin pop,Me Gusta,single,1,3.18,2020,2020s,False,False,Non Explicit,Genre Available,43.0,10+ Tracks,44.0,30+ Tracks
6bWeS98rwGkzVXxu4yJBU3,Jazz Suite No. 2 : 6. Waltz II,0,False,Dmitri Shostakovich,60.0,531897.0,"classical, chamber music, orchestral",Best Classical Music: The Greats,compilation,50,3.76,2015,2010s,False,False,Non Explicit,Genre Available,1.0,Below 10 Tracks,1.0,Below 30 Tracks
0kM7Geaz7x7r17CPONjpOU,What We Said (feat. MAGIC!) - Comme moi English Version,38,False,Shakira,85.0,39777995.0,latin pop,El Dorado,album,13,2.99,2017,2010s,False,False,Non Explicit,Genre Available,43.0,10+ Tracks,44.0,30+ Tracks
19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,68,True,Bobby Shmurda,56.0,1603613.0,,Hot N*gga,single,1,3.24,2014,2010s,False,False,Explicit,Genre Missing,1.0,Below 10 Tracks,,Genre Missing
